arise,起こる・生じる
sit,座る
seat,座らせる・座席
live,生きる
reside,住む
last,続く・最後
rush,急いでいく
roam,歩き回る
proceed,進む
drift,漂う
emerge,現れる
disappear,姿を消す
fade,消えていく
rotate,回転する
revolve,回転する
taste,味がする・味見する・好み・味
bankrupt,破産した
deserve,値する
contact,連絡を取る
face,直面する・顔
mention,言及する
survive,〜より長生きする・生き延びる
await,待つ
award,賞・授与する
loan,貸す・貸し付け
assign,割り当てる
assignment,課題
hand,手渡す
do,与える
damege,害・損害を与える
harm,害
justice,公平・正義
favor,親切な行い
save,省く・救う・節約する
spare,割く・省く
owe,借りる・借りがある
smell,匂いがする
watch,じっと見る
listen,聞く
catch,捕まえる・目撃する
observe,気づく・目にする
overhear,ふと耳にする
compel,強いる
incline,する気にさせる
drive,追いやる・運転する
appoint,任命する
contain,含む
deslike,嫌う
consist,成り立つ・ある
compose,構成する
dare,あえて〜する
shoes,靴・立場
injure,傷つける
wound,傷つける・ケガ
hurt,傷つける・痛む
follow,後を追う・従う
accompany,つきそう
despise,軽蔑する
laugh,笑う
fun,楽しみ・愉快な
deal,扱う・配る
nice,優しい
brave,勇敢な
bold,大胆な
thoughtful,思いやりがある
thougtless,不注意な
silly,愚かな
irresponsible,無責任な
wicked,悪い
cruel,残酷な
attempt,試みる・試み
seek,追い求める
struggle,もがく・努力する
strive,努力する
intend,意図する
manege,管理する・やり遂げる
afford,余裕がある
volunteer,進んで申し出る・ボランティア
pretend,フリをする
mean,意味する
hesitate,ためらう
care,心配する・世話・注意
appear,現れる・見える
prove,証明する・判明する
difficult,難しい
hard,困難な
dangerous,危険な
impossible,不可能な
easy,簡単な
pleasant,(物事が)楽しい
unlikely,しなさそう
unwilling,したがらない
reluctant,したがらない
apt,傾向がある
liable,傾向がある・法的責任がある
prone,傾向がある
help,助ける・避ける
resist,抵抗する
admit,認める
worth,価値がある
amaze,驚かせる
amazing,驚くべき・素晴らしい
amazed,驚いた
amuse,おもしろがらせる
amusing,楽しませるような
amused,面白かった
intrigue,興味を持たせる
intriguing,興味をそそる
entertain,楽しませる
delight,喜ばせる
thrill,ワクワクさせる
impress,感銘を与える・印象を与える
fascinate,魅了する
charm,魅了する・魅力
absorb,吸収する・夢中にさせる
astonish,驚かせる
startle,びっくりさせる
irritate,イライラさせる
annoy,イライラさせる
upset,ひっくり返す・イライラさせる・狼狽させる
frustrate,不満を抱かせる・挫折させる
dissatisfy,不満に思わせる
disgust,むかつかせる・反感
puzzle,困らせる
embarrass,恥ずかしい思いをさせる・気まずくさせる
confuse,混同する・当惑させる
exhaust,疲れさせる
terrify,怖がらせる
scare,怖がらせる
frighten,怖がらせる
marvel,驚く
mourn,悲しむ
attractive,魅力的な
satisfactory,満足のいく
delightful,楽しい
impressive,印象的な・感動的な
marvelous,驚くほど素晴らしい
terrible,恐ろしい・ひどい
scary,恐ろしい
offensive,イライラさせる
mind,心・気にする・嫌がる
far,遠い・遠くに
farther,もっと遠い・もっと遠くに
farthest,最も遠い・最も遠くに
further,さらに進んだ・さらに
furthest,最も遠い・最も
much,たくさん・はるかに
even,〜さえ・いっそう
still,静止した・まだ・なおいっそう
mamml,哺乳類
necessarily,必ず
altogether,全部で・完全に
completely,完全に
given,〜を考慮する・〜を考慮すると
concerning,〜に関して
behalf,利益
regard,みなす・考慮
regardless,気にかけない
prior,前の
though,〜だけれども
once,一度・かつて・いったん〜すると
whereas,〜する一方で
whereas,〜するところで
moment,瞬間
minute,分・瞬間・綿密な
instant,瞬間・即時の
suppose,思う・もし〜なら
supposing,もし〜なら
provided,もし〜なら
providing,もし〜なら
case,場合
now,今
notion,考え
argument,議論・主張
assertion,主張
assumption,仮定
probability,可能性
prospect,見込み
luggage,荷物一式
clothing,衣類
equipment,装置類
paper,紙・新聞・論文
tuition,授業料
fee,報酬・公共料金
fare,運賃
fine,罰金・罰金を科す・立派な
toll,通行料金
none,1つも〜ない
sole,唯一の
certain,確信して・ある〜
present,出席している・現在の
sensible,分別がある
sensitive,敏感な・影響を受けやすい
economic,経済の
economical,お得な
literal,文字通りの
literacy,使いこなす能力・読み書きの能力
literate,読み書きできる
literary,文学の
industrious,勤勉な
industrial,産業の
considerable,かなりの
considerate,思いやりがある
available,利用できる・入手できる
negotiable,交渉できる
affordable,手ごろな
dependable,信頼性の高い
unforgettable,忘れられない
remarkable,著しい・目立った
applicable,当てはまる
durable,長持ちする
provable,証明できる
favorable,好意的な
invisible,目に見えない
flexible,柔軟な
convenient,便利な
another,もう一つの・別の
furthermore,さらに
additionally,加えて
similarly,同様に
consequently,結果として
accordingly,それゆえ・それに応じて
eventually,ついに
thus,このように・したがって
namely,すなわち
overseas,海外へ
downtown,繁華街に
lately,最近は
almost,もう少しで・ほとんど
nearly,もう少しで・ほとんど
mostly,大抵
somehow,なんとかして
perhaps,もしかすると
meanwhile,その間に・一方
instead,その代わりに
merely,単に
so,とても・だから
convince,納得させる
persuade,説得する
warn,警告する
notify,通知する
inform,知らせる
assure,保証する
deprive,奪う
strip,はぎ取る
cure,治す
clear,片付ける・明白な
relieve,取り除く・安心させる
rid,取り除く
furnish,備え付ける
feed,食べ物を与える・物を食べる
acquaint,知らせる・知り合いにさせる
confront,直面させる
equip,備え付ける
endow,授ける
associate,連想する・付き合う
admire,感心する・褒める
commend,褒める
grateful,感謝している
prosecute,起訴する
forgive,許す
hinder,妨げる
inhibit,妨げる
bar,禁じる
discourage,落胆させる・やる気をなくさせる
complain,不満をいう
boast,自慢する・誇る
ashamed,恥ずかしく思って
suspect,疑う（〜ではないかと思う）
doubt,疑う（〜ではないと思う）
beat,打ち負かす・打つ
defeat,打ち負かす
accuse,責める・告訴する
blame,責める
charge,請求する・非難する・料金
withstand,耐える
withdraw,引き出す・撤回する
withhold,与えない
resolve,解決する・決心する
dissolve,溶かす・解散する
cooperate,協力する
doze,うたた寝する・うたた寝
formerly,以前は
widow,未亡人
flesh,肉
fresh,新鮮な
frame,枠
flame,炎
gross,全部の
gloss,光沢
personal,個人的な
personnel,職員
conscience,良心
conscientious,良心的な
NEET,ニート
neat,きちんとした
conversation,会話
conservation,保護
devote,捧げる
devoted,献身的な
dedicate,捧げる
replace,取り換える
expose,晒す
exposure,晒すこと
precede,先にいく
celebrate,祝う
reward,報いる・報酬
critical,重大な・批判的な
crucial,重要な
crucify,はりつけにする・苦しめる
indispensable,必要不可欠な
principal,主要な・重要な・校長
primary,最初の・重要な
count,数える・重要である
result,結果・（結果）となる
trigger,引き起こす
contribute,寄付する・原因となる
amount,達する
responsible,責任がある・原因となる
stem,茎・起こる・派生する
attribute,（結果など）を（〜に）帰する
ascribe,（結果など）を（〜に）帰する
outcome,結果
consequence,結果
implication,暗示・影響
represent,表す・代表する
involve,巻き込む・含む
refer,言及する・参照する
signify,意味する
bottom,底・結論
shed,（涙・血を）流す・当てる
emphasize,強調する
emphasis,強調
stress,強調する・ストレス
relate,関係づける・関係する
related,関係がある・親戚の
relevant,関係がある
irrelevant,無関係の
conventional,従来の
previous,以前の
precviously,以前は
initial,最初の・初期の
initially,最初は
old-fashioned,時代遅れの
challenge,挑戦する・異議を唱える
counter,反論する
contradict,反論する・矛盾する
contrary,反対の・反して
reject,拒絶する
dispute,議論する
opponent,相手・反対側
satisfaction,満足
chuckle,クスッと笑う
courtesy,礼儀正しさ
grace,上品
tender,優しい
humble,謙虚な
reserved,控えめな
integrity,完全・誠実
discreet,思慮分別のある
cherish,大切にする
stunning,驚くほどの
tribute,賛辞・感謝
zeal,熱意
discriminating,目が利く
reassure,安心させる
compassion,同情・哀れみ
sympathy,同情・共感
antipathy,反感
virtue,美徳・長所
vice,悪・欠点・副〜
resent,憤慨する
furious,激怒した・猛烈な
temper,機嫌
curse,呪う・呪い
malice,悪意
detest,酷く嫌う
betray,裏切る
frown,眉をひそめる
scorn,軽蔑・軽蔑する
mock,からかう
ridiculous,馬鹿げた
sneer,嘲笑う・冷笑
sorrow,悲しみ
weep,泣く
lament,嘆く
mercy,慈悲
anxiety,心配・切望
distress,苦悩
lonely,孤独な
dismay,落胆・狼狽
console,慰める
shiver,震える
fear,恐怖・怖がる
awful,恐ろしい・ひどい
appall,ゾッとさせる
clumsy,不器用な・ぎこちない
greed,強欲
stern,厳しい
harsh,厳しい
stubborn,頑固な
timid,臆病な
conceit,うぬぼれ
hypocrisy,偽善
tense,緊張した
naughty,行儀が悪い
obsess,取り除く
tolerate,我慢する
tolerance,忍耐
evoke,呼び起こす
provoke,引き起こす・怒らせる
induce,引き起こす
decisive,決定的な
wary,用心深い
impulse,衝動
persist,続く・固執する
distort,歪める
repress,抑える
