follow,続く、従う
consider,考慮する
increase,増える、増やす
expect A to V,AがVするのを予期する
decide to V,Vする決意をする
develop,発達する、発達させる
provide A with B,AにBを与える
continue,続く、続ける
include,含む、含める
remain,ままでいる
reach,着く、達する
allow A to V,AがVするのを許す、可能にする
be forced to V,Vするのを強制される、Vせざるをえない
offer to V,Vすると申し出る
realize,悟る
require,必要とする
suggest,提案する、ほのめかす
be worry about A,Aのことを心配する
wonder,疑問に思う
cost,要する
tend to V,Vする傾向がある、Vしがちである
depend on A,Aに依存する、Aしだいで決まる
share A with B,AをBと分かち合う
demand,要求する
support,支持する、養う、立証する
hire,雇う
regard A as B,AをBだと思う、みなす
be based on A,Aに基づいている
improve,向上させる
recognize,認める
notice,気づく
be supposed to V,Vすることになっている、Vすべきだ、Vするはずだ
raise,上げる、育てる、提起する
prefer A to B,BよりもAを好む
enter,入る
suffer,経験する、受ける、苦しむ
describe,描写する、特徴を説明する
prevent A from Ving,AがVするのをさまたげる
reduce,減らす、する
mistake A for B,AをBとまちがえる
be prepare for A,Aに備えている
encourage A to V,AにVするようすすめる
prove,わかる、証明する
join,参加する
treat,あつかう
establish,確立する、設立する
relate,関係がある
compare A with B,AとBを比較する
spread,広げる、広がる
refer to A,Aを指示する
supply A with B,AにBを供給する
gain,得る
destroy,破壊する
apply A to B,AをBに当てはめる、応用する
seek,求める
search for A,Aを捜す
claim,主張する、要求する
draw,引っぱる、描く
introduce,紹介する
refuse to V,Vするのを拒む
mention,述べる
judge,判断する
approach,接近する、取り組む
admit,認める
reflect,反映する、反射する
perform,行う、遂行する
bore,うんざりさせる
survive,生き残る
represent,表す
argue,主張する
take A for granted,Aを当然のことと思う
indicate,指し示す
belong to A,Aに所属する、Aのものだ
acquire,習得する
reply,返事をする
feed,エサをやる、養う
escape,逃げる
replace,取って代わる、取り替える
reveal,明らかにする
surround,取り囲む
suit,合う
estimate,推定する
aim at A,Aをねらう
earn,もうける、かせぐ
decline,衰退する、低下する、辞退する
can afford to V,Vする余裕がある
confuse,当惑させる、混同する
graduate from A,Aを卒業する
vary,変わる、さまざまである
remove,移す、取り去る
insist on A,Aを主張する
examine,調査する
remind A of B,AにBのことを思い出させる
contribute,貢献する、一因となる、寄付する
warn A of B,AにBを警告する
be connect to A,Aと関係がある、つながりがある
match,匹敵する、調和する
focus on A,Aに焦点を合わせる
reject,断る
convince,納得させる、確信させる
associate,ＡをＢに関連づける、ＡからＢを連想する
rush,急いで行く
stress,～を強調する
attract,〈人・注意〉を引きつける
rely,Ａに頼る
respond,Ａに返答する
threaten,～を脅迫する
adopt,〈理論・技術など〉を採用する
shake,～を振る
hurt,～を傷つける
operate,〈機械などが〉作動する、〈機械など〉を操作する、手術する
extend,～を広げる、延長する
blame,～を非難する、～のせいにする
consist,Ａで構成されている
persuade,～を説得する
admire,～に感心する
disappoint,～を失望させる
expand,（～を）拡大する
preserve,～を保護する、～を保つ
struggle,苦闘する、もがく
arrange,〈会合など〉の手はずを整える、～を配列する
disturb,〈人・仕事など〉をさまたげる
employ,～を雇う、〈方法・言葉など〉を用いる
engage,Ａに従事する、Ａを行う
abandon,～を捨てる
display,～を展示する、～を表す
encounter,～に偶然出会う
exhaust,〈人〉を疲れはてさせる
bother,〈人〉に面倒をかける、困らせる、（～を）気にする
concentrate,集中する
adapt,～に適応させる、適応する
puzzle,～を当惑させる
appeal,Ａ〈理性・感情など〉に訴える、〈人〉を引きつける、魅力
combine,～を統合させる
delay,～を遅らせる
repair,～を修理する
fascinate,〈人〉を夢中にさせる
devote,～をささげる
import,～を輸入する
remark,（～と）述べる
reserve,～を予約する、～を取っておく
amaze,～を驚嘆させる
frighten,〈人〉をおびえさせる
release,～を解放する
rent,〈家・車など〉を賃借りする
recover,Ａ（病気など）から回復する
suspect,～ではないかと思う、〈人・もの〉を疑う
deliver,～を配達する、渡す、〈講義など〉をする
identify,～の正体をつきとめる、Ａと共感する
locate,（Ａに）位置する
manufacture,～を製造する
occupy,〈場所・地位など〉を占める
own,～を所有している
expose,ＡをＢにさらす
conclude,～と結論づける
cure,～を治療する
perceive,～を知覚する
ban,（公式に）～を禁止する
alarm,～をぎょっとさせる、おびえさせる
derive,由来する
neglect,～を無視する、怠る、〈子供など〉の世話をしない
adjust,〈環境に〉慣れる、調節して合わせる
shift,～を変える
embarrass,～を困惑させる、～に恥ずかしい思いをさせる
approve,～を承認する
commit,〈罪など〉を犯す
stretch,～を広げる
participate,Ａに参加する
impose,ＡをＢに課す、押しつける
owe,ＡのことはＢのおかげだ
celebrate,〈特定の日・できごと〉を祝う
emerge,〈隠れていたものが〉現れる
urge,～に強く迫る、～を説得する
seat,座っている
injure,～を傷つける
imply,～を（暗に）意味する
explain,～を説明する
accept,～を受け入れる
produce,～を生産する
exist,存在する
occur,起こる
express,～を表現する
add,～を加える
avoid,～を避ける
marry,～と結婚する
protect,～を守る
affect,～に影響する
determine,～を決定する
solve,～を解決する
contain,～を含んでいる
discuss,～を議論する
ignore,～を無視する
guess,～を推測する
exchange,交換する
satisfy,～を満たす
complain,苦情を言う
achieve,～を達成する
enable,～を可能にする
intend,つもりだ
obtain,～を得る
divide,分割する
distinguish,～を見分ける
differ,異なる
educate,～を教育する
borrow,～を借りる
invent,～を発明する
promote,～を促進する
advise,～に忠告する
arise,生じる
permit,～を許す
recommend,～を勧める
define,定義する
inform,～に知らせる
oppose,～に反対する
trust,～を信用する
select,～を選ぶ
praise,～をほめる
handle,～に対処する
propose,～を提案する
breathe,～を呼吸する
criticize,～を非難する
overcome,～に打ち勝つ
possess,～を持っている
predict,～を予言する
publish,～を出版する
purchase,～を買う
recall,～を思い出す
explore,～を探検する
stare,じっと見る
absorb,～を吸収する
resemble,～に似ている
tear,～を引き裂く
consume,～を消費する
compete,競争する
quit,～をやめる
announce,～を発表する
react,反応する
wander,歩き回る
emphasize,～を強調する
generate,～を生み出す
result,結果
eperience,経験、体験
society,社会
trouble,悩み、苦労
value,価値
effect,効果、影響、結果
individual,個人
influence,影響（力）
context,文脈、（文化・社会的な）状況
rate,割合、速度、～を評価する
sign,印、兆候
service,公共事業、業務
advance,前進、進歩
officer,役人
material,物質
industry,工業
attempt,試み
trade,貿易
progress,進歩、前進
excuse,言い訳
custom,（社会的な）習慣、税関
passage,一節、（時の）経過、通行
economy,経済
range,範囲
traffic,交通（量）
official,役人
sight,見ること、光景、視力
taste,味、好み
immigrant,（外国からの）移民
neighbor,近所の人
patient,患者、忍耐強い
project,計画
favor,好意
appearance,外見、様子、出現
risk,危険
benefit,利益
feature,特徴
relative,親族、親せき、相対的な
region,地域
characteristic,特徴
pain,苦痛
kid,子供、～をからかう
occasion,場合
principle,原理、原則
department,（組織の）部門、（大学などの）学科
duty,義務、関税
scene,場面、現場
basis,基礎、根拠、方式、やり方
spirit,精神
medium,手段
mass,一般大衆、多くのＡ
audience,（集合的に）聴衆、観客
element,要素、元素
climate,気候
revolution,革命
quarter,４分の１
conflict,（意見・利害の）対立
flood,洪水
atmosphere,大気、雰囲気
property,財産
reward,報酬、～に報いる
security,安全
delight,大喜び
desert,砂漠、～を放棄する、見捨てる
background,背景、生い立ち、経歴
trend,傾向
grade,（小中高通じての）学年
impact,影響
institution,機関、制度
interaction,〈人と人の〉交流
alternative,代わりのもの
harm,害
agency,（政治的）機関、代理店
capacity,能力
minister,大臣
volunteer,ボランティア
access,利用する権利
quantity,量
branch,枝、支店、支局、（学問の）部門、分野
laughter,笑い
transport,交通機関、輸送
vote,投票
resident,住民
square,正方形、（面積の単位）平方
situation,状況
government,政府
knowledge,知識
nation,国
effort,努力
period,時代
population,人口
purpose,目的
behavior,行動
lack,不足
skill,技術
quality,質
environment,環境
role,役割
attitude,態度
author,筆者
research,研究
opportunity,機会
source,源
disease,病
shape,形
advantage,利点
method,方法
habit,習慣
detail,細部
distance,距離
crowd,群衆
clothes,服
instance,例
desire,願望
standard,水準
technology,科学技術
generation,世代
responsibility,責任
task,仕事
experiment,実験
evidence,証拠
decade,１０年
loss,損失
aspect,側面
theory,理論
statement,記述
professor,教授
function,機能
surface,表面
factor,要因
organization,組織
policy,政策
resource,資源
contrast,対比
brain,脳
customer,客
goods,商品
creature,動物
structure,構造
tradition,伝統
weight,体重
labor,労働
citizen,市民
impression,印象
species,種
career,経歴
concept,概念
passenger,乗客
crime,犯罪
income,所得
temperature,気温
majority,大多数
origin,起源
literature,文学
equipment,設備
stranger,見知らぬ人
strength,強さ
planet,惑星
circumstances,状況
religion,宗教
pollution,汚染
wealth,富
civilization,文明
profit,もうけ
technique,技術
emotion,感情
phenomenon,現象
cancer,ガン
bottom,底
billion,十億
status,地位
youth,若者
confidence,自信
edge,周辺
household,家庭
scholar,学者
survey,調査
vocabulary,語彙
enemy,敵
construction,建設
lecture,講義
instruction,指示
crisis,危機
instrument,器具
crop,作物
weapon,兵器
device,装置
path,道
earthquake,地震
stream,小川
notion,概念
substance,物質
victim,犠牲者
fuel,燃料
ancestor,祖先
soil,土壌
debate,討論
violence,暴力
colleague,同僚
philosophy,哲学
analysis,分析
universe,宇宙
electricity,電気
insect,昆虫
disaster,災害
storm,嵐
plenty,十分な
agriculture,農業
gene,遺伝子
advertising,広告
carbon,炭素
infant,幼児
evolution,進化
cell,細胞
aid,援助
consequence,結果
talent,才能
common,共通の、普通の
public,公の
likely,ありそうな、～する可能性が高い
serious,深刻な
particular,ある特定の、特有の
available,手に入る、利用できる
local,その土地の
ready,用意ができた、進んでＶする
correct,正しい
familiar,よく知られた、（人が）熟知している、くわしい
physical,身体の、肉体の、物理的な
worth,Ａの価値がある
involved,Ａに関係している、参加している
equal,平等な
private,個人の、私的な
obvious,明白な
native,母国の
complex,複雑な
willing,進んで[喜んで]Ｖする
current,最新の
male,男の
proper,適切な
capable,～する能力がある
independent,独立した
positive,積極的な
pleasant,〈人にとって〉楽しい
significant,重要な
former,前の
chemical,化学的な
upset,〈人が〉動揺している
previous,（時間・順序で）前の
global,世界的な
specific,特定の
conscious,意識している
superior,よりすぐれている
efficient,効率がいい
fundamental,基本的な
narrow,狭い
reasonable,理にかなった、（値段が）手ごろな
nervous,神経質な、不安な
alike,似ている
domestic,家庭の、国内の
negative,否定の
moral,道徳的な
eager,熱心な
