ながむ,物思いに沈む・口ずさむ
しのぶ,A我慢する・ひと目につかないようにする　B思い出す
ねんず,我慢する
やる,送る・[やらずのかたちで]～きれない
おこす,たてる・たたせる・目を覚まさせる
いらふ,答える
ありく,出歩く・～しまわる・～続ける
とぶらふ,訪ねる・見舞う・弔う
わたる,通る・いらっしゃる・～し続ける・一面に
ぐす,伴う・連れる・添える
いる,矢を射る・はいる
いぬ,立ち去る・過ぎ去る
あふ,結婚する・耐えられない・～きれない
みる,思う・関係を結ぶ・面倒を見る
ならふ,なれる・なじむ
あく,十分に満足する・ひらく
うつろふ,色あせる
おどろく,目を覚ます・気づく
おぼゆ,思われる・思い出される・似る
ものす,する・いらっしゃる
かしづく,大切に育てる・大切に世話をする
めづ,愛する・感嘆する
にほふ,美しく映える
あそぶ,演奏する
ののしる,大声で騒ぐ・評判になる・羽振りをきかす
まうく,用意する
たのむ,あてにする・あてにされる
わづらふ,苦しむ・病気になる
おこたる,病気が治る
うれふ,訴える
まどふ,迷う・ひどく～する
わぶ,困る・嘆く・～かねる
うす,なくなる・消える
おこなふ,仏道修行する
あきらむ,明らかにする
をかし,すばらしい・滑稽だ
おもしろし,趣がある
ゆかし,見たい・聞きたい・知りたい・心惹かれる
うつくし,かわいい
かなし,いとしい
うるはし,きちんとしている・美しい
よし,風情・由緒・手だて・こと
ありがたし,めったにない・すばらしい
あらまほし,望ましい
めでたし,すばらしい
はづかし,立派だ
やさし,優美だ・上品だ・殊勝だ
かたはらいたし,きまり悪い・苦々しい・気の毒だ
かしこし,おそれ多い・優れている・うまい具合に
いみじ,すばらしい・ひどい・とても
ゆゆし,不吉だ・すばらしい・はなはだしく
あやし,【怪し】不思議だ　【賤し】身分が低い・粗末だ
あさまし,驚くほどだ・あきれるほどだ・情けない
すさまじ,興ざめだ・殺風景だ
さうざうし,物足りない
やむごとなし,高貴だ・なみなみでない
むつかし,うっとうしい・気味が悪い
びんなし,不都合だ・気の毒だ
うし,つらい・いやだ
つらし,薄情だ
つれなし,平然としている・冷淡だ
くちをし,残念だ
おぼつかなし,はっきりしない・気がかりだ・待ち遠しい
こころもとなし,かすかだ・不安だ・じれったい
いとほし,気の毒だ
いはけなし,こどもっぽい
